Experiment Accession,Experiment Title,Organism Name,Instrument,Submitter,Study Accession,Study Title,Sample Accession,Sample Title,Total Size, Mb,Total RUNs,Total Spots,Total Bases,Library Name,Library Strategy,Library Source,Library Selection
ERX1381150,Illumina HiSeq 2000 paired end sequencing; Saccharomyces cerevisiae,Saccharomyces cerevisiae,Illumina HiSeq 2000,,ERP014555,The 1002 Saccharomyces cerevisiae Genomes Project,ERS1082725,,2598.87,1,20207867,4014649229,BCM_CDAOSW_r1,WGS,GENOMIC,RANDOM
ERX1381149,Illumina HiSeq 2000 paired end sequencing; Saccharomyces cerevisiae,Saccharomyces cerevisiae,Illumina HiSeq 2000,,ERP014555,The 1002 Saccharomyces cerevisiae Genomes Project,ERS1082231,,1929.23,1,14827354,2932943949,BCM_AMGOSW_r1,WGS,GENOMIC,RANDOM
ERX1381148,Illumina HiSeq 2000 paired end sequencing; Saccharomyces cerevisiae,Saccharomyces cerevisiae,Illumina HiSeq 2000,,ERP014555,The 1002 Saccharomyces cerevisiae Genomes Project,ERS1082719,,2029.13,1,15530622,3081140046,BCM_CCPOSW_r1,WGS,GENOMIC,RANDOM
ERX1381147,Illumina HiSeq 2000 paired end sequencing; Saccharomyces cerevisiae,Saccharomyces cerevisiae,Illumina HiSeq 2000,,ERP014555,The 1002 Saccharomyces cerevisiae Genomes Project,ERS1082874,,1669.07,1,12778295,2544984060,BCM_CMFOSW_r1,WGS,GENOMIC,RANDOM
ERX1381146,Illumina HiSeq 2000 paired end sequencing; Saccharomyces cerevisiae,Saccharomyces cerevisiae,Illumina HiSeq 2000,,ERP014555,The 1002 Saccharomyces cerevisiae Genomes Project,ERS1082817,,2361.23,1,17352399,3433178113,BCM_CICOSW_r1,WGS,GENOMIC,RANDOM
ERX1381145,Illumina HiSeq 2000 paired end sequencing; Saccharomyces cerevisiae,Saccharomyces cerevisiae,Illumina HiSeq 2000,,ERP014555,The 1002 Saccharomyces cerevisiae Genomes Project,ERS1082738,,2663.68,1,20696760,4111726418,BCM_CDPOSW_r1,WGS,GENOMIC,RANDOM
ERX1381144,Illumina HiSeq 2000 paired end sequencing; Saccharomyces cerevisiae,Saccharomyces cerevisiae,Illumina HiSeq 2000,,ERP014555,The 1002 Saccharomyces cerevisiae Genomes Project,ERS1082081,,2212.66,1,17792856,3552695823,BCM_ACSOSW_r1,WGS,GENOMIC,RANDOM
ERX1381143,Illumina HiSeq 2000 paired end sequencing; Saccharomyces cerevisiae,Saccharomyces cerevisiae,Illumina HiSeq 2000,,ERP014555,The 1002 Saccharomyces cerevisiae Genomes Project,ERS1082860,,2694.91,1,20892948,4162075764,BCM_CLKOSW_r1,WGS,GENOMIC,RANDOM
ERX1381142,Illumina HiSeq 2000 paired end sequencing; Saccharomyces cerevisiae,Saccharomyces cerevisiae,Illumina HiSeq 2000,,ERP014555,The 1002 Saccharomyces cerevisiae Genomes Project,ERS1082131,,1911.05,1,14485187,2870112865,BCM_AFLOSW_r1,WGS,GENOMIC,RANDOM
ERX1381141,Illumina HiSeq 2000 paired end sequencing; Saccharomyces cerevisiae,Saccharomyces cerevisiae,Illumina HiSeq 2000,,ERP014555,The 1002 Saccharomyces cerevisiae Genomes Project,ERS1082268,,2216.66,1,17269542,3426801654,BCM_APIOSW_r1,WGS,GENOMIC,RANDOM
